onset	duration	Scoring2	Has_Arousal
17517.9999990016	30	4	0
17547.9999990016	30	4	0
17577.9999990016	30	4	0
17607.9999990016	30	4	0
17637.9999990016	30	4	0
17667.9999990016	30	5	0
17697.9999990016	30	5	0
17727.9999990016	30	5	0
17757.9999990016	30	5	0
17787.9999990016	30	5	0
17817.9999990016	30	5	0
17847.9999990016	30	5	0
17877.9999990016	30	5	0
17907.9999990016	30	5	0
17937.9999990016	30	5	0
17967.9999990016	30	5	0
17997.9999990016	30	5	0
18027.9999990016	30	5	0
18057.9999990016	30	5	0
18087.9999990016	30	5	0
18117.9999990016	30	5	0
18147.9999990016	30	5	0
18177.9999990016	30	5	0
18207.9999990016	30	5	0
18237.9999990016	30	5	0
18267.9999990016	30	5	0
18297.9999990016	30	5	0
18327.9999990016	30	5	0
18357.9999990016	30	5	0
18387.9999990016	30	5	0
18417.9999990016	30	5	0
18447.9999990016	30	5	0
18477.9999990016	30	5	0
18507.9999990016	30	5	0
18537.9999990016	30	5	0
18567.9999990016	30	5	0
18597.9999990016	30	5	1
18627.9999990016	30	4	0
18657.9999990016	30	4	0
18687.9999990016	30	4	0
18717.9999990016	30	4	0
18747.9999990016	30	4	0
18777.9999990016	30	4	0
18807.9999990016	30	4	0
18837.9999990016	30	2	0
18867.9999990016	30	2	0
18897.9999990016	30	2	0
18927.9999990016	30	2	0
18957.9999990016	30	2	0
18987.9999990016	30	2	0
19017.9999990016	30	2	0
19047.9999990016	30	2	0
19077.9999990016	30	2	0
19107.9999990016	30	2	0
19137.9999990016	30	2	0
19167.9999990016	30	2	0
19197.9999990016	30	2	0
19227.9999990016	30	2	0
19257.9999990016	30	2	0
19287.9999990016	30	2	0
19317.9999990016	30	2	0
19347.9999990016	30	2	0
19377.9999990016	30	2	0
19407.9999990016	30	2	0
19437.9999990016	30	2	0
19467.9999990016	30	2	1
19497.9999990016	30	3	0
19527.9999990016	30	1	1
19557.9999990016	30	1	0
19587.9999990016	30	1	0
19617.9999990016	30	1	0
19647.9999990016	30	1	1
19677.9999990016	30	1	0
19707.9999990016	30	3	0
19737.9999990016	30	4	0
19767.9999990016	30	4	0
19797.9999990016	30	4	0
19827.9999990016	30	4	0
19857.9999990016	30	4	0
19887.9999990016	30	4	0
19917.9999990016	30	4	0
19947.9999990016	30	4	0
19977.9999990016	30	4	0
20007.9999990016	30	4	0
20037.9999990016	30	4	0
20067.9999990016	30	4	0
20097.9999990016	30	4	0
20127.9999990016	30	4	0
20157.9999990016	30	4	0
20187.9999990016	30	4	0
20217.9999990016	30	4	0
20247.9999990016	30	4	1
20277.9999990016	30	1	0
20307.9999990016	30	3	0
20337.9999990016	30	4	1
20367.9999990016	30	1	0
20397.9999990016	30	3	0
20427.9999990016	30	4	1
20457.9999990016	30	4	0
20487.9999990016	30	4	0
20517.9999990016	30	4	0
20547.9999990016	30	4	0
20577.9999990016	30	4	0
20607.9999990016	30	4	0
20637.9999990016	30	4	0
20667.9999990016	30	4	0
20697.9999990016	30	1	1
20727.9999990016	30	4	0
20757.9999990016	30	4	0
20787.9999990016	30	4	0
20817.9999990016	30	1	1
20847.9999990016	30	4	1
20877.9999990016	30	4	0
20907.9999990016	30	4	0
20937.9999990016	30	4	0
20967.9999990016	30	4	0
20997.9999990016	30	4	0
21027.9999990016	30	4	0
21057.9999990016	30	4	0
21087.9999990016	30	4	0
21117.9999990016	30	4	0
21147.9999990016	30	4	0
21177.9999990016	30	4	0
21207.9999990016	30	4	0
21237.9999990016	30	4	0
21267.9999990016	30	4	0
21297.9999990016	30	4	0
21327.9999990016	30	4	0
21357.9999990016	30	4	0
21387.9999990016	30	4	0
21417.9999990016	30	4	0
21447.9999990016	30	4	0
21477.9999990016	30	4	0
21507.9999990016	30	4	0
21537.9999990016	30	4	0
21567.9999990016	30	4	0
21597.9999990016	30	4	0
21627.9999990016	30	4	0
21657.9999990016	30	4	0
21687.9999990016	30	4	0
21717.9999990016	30	4	0
21747.9999990016	30	4	0
21777.9999990016	30	4	0
21807.9999990016	30	4	0
21837.9999990016	30	4	0
21867.9999990016	30	4	0
21897.9999990016	30	4	0
21927.9999990016	30	4	0
21957.9999990016	30	4	0
21987.9999990016	30	4	0
22017.9999990016	30	4	0
22047.9999990016	30	4	0
22077.9999990016	30	4	0
22107.9999990016	30	4	0
22137.9999990016	30	4	0
22167.9999990016	30	4	0
22197.9999990016	30	4	0
22227.9999990016	30	4	0
22257.9999990016	30	4	0
22287.9999990016	30	4	0
22317.9999990016	30	4	0
22347.9999990016	30	4	0
22377.9999990016	30	4	0
22407.9999990016	30	4	0
22437.9999990016	30	4	0
22467.9999990016	30	4	0
22497.9999990016	30	4	0
22527.9999990016	30	4	0
22557.9999990016	30	4	0
22587.9999990016	30	4	0
22617.9999990016	30	4	0
22647.9999990016	30	4	0
22677.9999990016	30	4	0
22707.9999990016	30	4	0
22737.9999990016	30	4	0
22767.9999990016	30	4	0
22797.9999990016	30	4	0
22827.9999990016	30	4	0
22857.9999990016	30	4	0
22887.9999990016	30	4	0
22917.9999990016	30	4	0
22947.9999990016	30	4	0
22977.9999990016	30	4	0
23007.9999990016	30	4	0
23037.9999990016	30	4	0
23067.9999990016	30	4	0
23097.9999990016	30	4	0
23127.9999990016	30	4	0
23157.9999990016	30	4	0
23187.9999990016	30	4	0
23217.9999990016	30	4	0
23247.9999990016	30	4	0
23277.9999990016	30	1	1
23307.9999990016	30	4	0
23337.9999990016	30	4	0
23367.9999990016	30	4	0
23397.9999990016	30	4	0
23427.9999990016	30	4	0
23457.9999990016	30	4	0
23487.9999990016	30	4	0
23517.9999990016	30	2	0
23547.9999990016	30	2	0
23577.9999990016	30	2	0
23607.9999990016	30	2	0
23637.9999990016	30	2	0
23667.9999990016	30	2	0
23697.9999990016	30	2	0
23727.9999990016	30	2	0
23757.9999990016	30	2	0
23787.9999990016	30	2	1
23817.9999990016	30	2	0
23847.9999990016	30	2	0
23877.9999990016	30	2	0
23907.9999990016	30	2	0
23937.9999990016	30	2	0
23967.9999990016	30	2	0
23997.9999990016	30	2	0
24027.9999990016	30	2	0
24057.9999990016	30	2	0
24087.9999990016	30	2	0
24117.9999990016	30	2	0
24147.9999990016	30	2	1
24177.9999990016	30	2	0
24207.9999990016	30	2	0
24237.9999990016	30	2	0
24267.9999990016	30	2	0
24297.9999990016	30	2	0
24327.9999990016	30	2	0
24357.9999990016	30	2	0
24387.9999990016	30	2	0
24417.9999990016	30	2	0
24447.9999990016	30	2	0
24477.9999990016	30	2	0
24507.9999990016	30	2	0
24537.9999990016	30	2	0
24567.9999990016	30	2	0
24597.9999990016	30	2	0
24627.9999990016	30	2	0
24657.9999990016	30	2	0
24687.9999990016	30	2	0
24717.9999990016	30	2	0
24747.9999990016	30	2	0
24777.9999990016	30	2	0
24807.9999990016	30	2	0
24837.9999990016	30	2	0
24867.9999990016	30	4	0
24897.9999990016	30	4	0
24927.9999990016	30	4	0
24957.9999990016	30	4	0
24987.9999990016	30	4	0
25017.9999990016	30	4	1
25047.9999990016	30	4	0
25077.9999990016	30	4	0
25107.9999990016	30	4	0
25137.9999990016	30	4	0
25167.9999990016	30	4	0
25197.9999990016	30	4	0
25227.9999990016	30	4	0
25257.9999990016	30	4	0
25287.9999990016	30	4	0
25317.9999990016	30	4	0
25347.9999990016	30	4	0
25377.9999990016	30	4	0
25407.9999990016	30	4	0
25437.9999990016	30	4	0
25467.9999990016	30	4	0
25497.9999990016	30	4	0
25527.9999990016	30	4	0
25557.9999990016	30	4	0
25587.9999990016	30	4	0
25617.9999990016	30	4	0
25647.9999990016	30	4	0
25677.9999990016	30	4	0
25707.9999990016	30	4	0
25737.9999990016	30	4	0
25767.9999990016	30	4	0
25797.9999990016	30	4	0
25827.9999990016	30	4	0
25857.9999990016	30	4	0
25887.9999990016	30	4	0
25917.9999990016	30	4	0
25947.9999990016	30	4	0
25977.9999990016	30	4	0
26007.9999990016	30	4	0
26037.9999990016	30	4	0
26067.9999990016	30	4	0
26097.9999990016	30	4	0
26127.9999990016	30	4	0
26157.9999990016	30	4	0
26187.9999990016	30	4	0
26217.9999990016	30	4	0
26247.9999990016	30	4	0
26277.9999990016	30	4	0
26307.9999990016	30	5	0
26337.9999990016	30	5	0
26367.9999990016	30	5	0
26397.9999990016	30	5	0
26427.9999990016	30	5	0
26457.9999990016	30	5	0
26487.9999990016	30	5	0
26517.9999990016	30	5	0
26547.9999990016	30	5	0
26577.9999990016	30	5	0
26607.9999990016	30	5	0
26637.9999990016	30	5	0
26667.9999990016	30	5	1
26697.9999990016	30	4	0
26727.9999990016	30	4	0
26757.9999990016	30	4	0
26787.9999990016	30	4	0
26817.9999990016	30	1	1
26847.9999990016	30	3	0
26877.9999990016	30	4	0
26907.9999990016	30	4	1
26937.9999990016	30	4	0
26967.9999990016	30	4	0
26997.9999990016	30	4	1
27027.9999990016	30	4	0
27057.9999990016	30	4	0
27087.9999990016	30	1	1
27117.9999990016	30	1	0
27147.9999990016	30	1	0
27177.9999990016	30	3	0
27207.9999990016	30	3	0
27237.9999990016	30	3	0
27267.9999990016	30	4	0
27297.9999990016	30	4	0
27327.9999990016	30	4	0
27357.9999990016	30	1	1
27387.9999990016	30	1	0
27417.9999990016	30	1	0
27447.9999990016	30	1	0
27477.9999990016	30	1	0
27507.9999990016	30	1	0
27537.9999990016	30	1	0
27567.9999990016	30	1	0
27597.9999990016	30	1	0
27627.9999990016	30	1	0
27657.9999990016	30	1	0
27687.9999990016	30	1	0
27717.9999990016	30	1	0
27747.9999990016	30	1	0
27777.9999990016	30	1	0
27807.9999990016	30	1	0
27837.9999990016	30	1	0
27867.9999990016	30	1	0
27897.9999990016	30	1	0
27927.9999990016	30	1	0
27957.9999990016	30	1	0
27987.9999990016	30	1	0
28017.9999990016	30	1	0
28047.9999990016	30	1	0
28077.9999990016	30	1	0
28107.9999990016	30	1	0
28137.9999990016	30	1	0
28167.9999990016	30	1	0
28197.9999990016	30	1	0
28227.9999990016	30	1	0
28257.9999990016	30	1	0
28287.9999990016	30	1	0
28317.9999990016	30	1	0
28347.9999990016	30	1	0
28377.9999990016	30	1	0
28407.9999990016	30	1	0
28437.9999990016	30	3	0
28467.9999990016	30	3	0
28497.9999990016	30	3	0
28527.9999990016	30	3	1
28557.9999990016	30	3	0
28587.9999990016	30	3	0
28617.9999990016	30	3	0
28647.9999990016	30	1	1
28677.9999990016	30	3	0
28707.9999990016	30	3	0
28737.9999990016	30	4	0
28767.9999990016	30	4	0
28797.9999990016	30	4	0
28827.9999990016	30	4	0
28857.9999990016	30	4	0
28887.9999990016	30	4	0
28917.9999990016	30	2	0
28947.9999990016	30	2	0
28977.9999990016	30	2	0
29007.9999990016	30	2	0
29037.9999990016	30	2	0
29067.9999990016	30	2	0
29097.9999990016	30	2	0
29127.9999990016	30	2	0
29157.9999990016	30	2	0
29187.9999990016	30	2	0
29217.9999990016	30	1	1
29247.9999990016	30	2	0
29277.9999990016	30	2	0
29307.9999990016	30	2	0
29337.9999990016	30	2	0
29367.9999990016	30	4	0
29397.9999990016	30	4	0
29427.9999990016	30	4	0
29457.9999990016	30	4	0
29487.9999990016	30	4	0
29517.9999990016	30	4	1
29547.9999990016	30	3	0
29577.9999990016	30	4	0
29607.9999990016	30	4	0
29637.9999990016	30	4	0
29667.9999990016	30	4	0
29697.9999990016	30	4	0
29727.9999990016	30	4	0
29757.9999990016	30	4	0
29787.9999990016	30	4	0
29817.9999990016	30	4	0
29847.9999990016	30	4	0
29877.9999990016	30	4	0
